528, Kushtia-Mirpur,31,635
529,Kushtia Sadar ,31,129
530,Komalnagar,32,530
531,Lakshimpur Sadar,32,142
532,Raipur,32,575
533,Ramganj,32,574
534,Ramgoti,32,747
535,Aditmari,33,802
536,Hatibandha,33,804
537,Kaliganj - Lalmonirhat ,33,803
538,Lalmonirhat Sadar,33,161
539,Patgram,33,805
540,Dasar Thana,34,870
541,Kalkini Thana,34,869
542,Madaripur Sadar,34,145
543,Rajoir thana,34,146
544,Shibchar,34,718
545,Magura Sadar,35,164
546,Mohammadpur ,35,463
547,Shalikha,35,956
548,Sreepur ,35,464
549,Daulatpur - Manikganj,36,856
550,Ghior Thana,36,854
551,Harirampur ,36,853
552,Manikganj Sadar,36,112
553,Saturia,36,857
554,Shivalaya,36,855
555,Singair,36,852
556,Gangni,37,610
557,Meherpur Sadar ,37,154
558,Mujibnagar,37,830
559,Baralekha,38,676
560,Juri,38,678
561,Kamalganj,38,679
562,Kulaura,38,680
563,Mouluvibazar Sadar,38,108
564,Rajnagar,38,677
565,Sreemangal,38,624
566,Lohajong,39,710
567,Munshiganj Sadar,39,124
568,Sirajdikhan,39,711
569,Sreenagar,39,712
570,Tongibari,39,713
571,Bhaluka,40,850
572,Dhobaura,40,847
573,Fulbaria,40,511
574,Gafargaon,40,845
575,Gauripur,40,846
576,Haluaghat,40,851
577,Ishwarganj,40,513
578,Muktagachha,40,512
579,Mymensingh Sadar,40,127
580,Nandail,40,848
581,Pagla,40,1038
582,Phulpur,40,849
583,Tarakanda,40,1049
584,Trishal,40,510
585,Atrai,41,584
586,Bodolgaci,41,766
587,Dhamairhat ,41,765
588,Manda,41,759
589,Mohadebpur ,41,761
590,Naogaon  Sadar,41,150
591,Niyamatpur,41,760
592,Porsha,41,764
593,Potnitola ,41,762
594,Raninagaor,41,758
595,Sapaher,41,763
596,Kalia,42,706
597,Narail - Lohagara  ,42,707
598,Narail Sadar,42,158
599,Terokhada,42,982
600,2 no gate,43,1025
601,amlapara,43,1085
602,ananda bazar,43,1052
603,Araihazar,43,721
604,baburail,43,1088
605,Baidder Bazar,43,1010
606,Bandar,43,648
607,Bausia,43,1114
608,Bb road,43,1084
609,Bhaberchar ,43,1053
610,Bhuighor,43,1127
611,Bhulta/Gawsia,43,723
612,Chashra,43,1120
613,Delpara,43,1124
614,Don Chamber,43,121
615,Ekrampur,43,1083
616,Epz,43,1126
617,Fatullah,43,119
618,Gazaria,43,821
619,Hazibadsha mia market ,43,1104
620,Ispahani Bandar,43,1082
621,Jalkuri,43,1017
622,Kachpur,43,1033
623,kaikartek,43,1051
624,kanchpur,43,1050
625,Kashipur,43,1089
626,Khanpur,43,1123
627,Madanganj,43,1080
628,Madanpur,43,1004
629,Majdair,43,1118
630,Masdair,43,1020
631,Modonpur,43,1039
632,Mograpara,43,1091
633,Nabiganj Bandar,43,1081
634,New town,43,1117
635,nitaiganj,43,1090
636,Nitaiganj,43,1024
637,Pagla,43,334
638,paikpara Narayanganj,43,1087
639,Panchabati,43,1119
640,Ponchoboti,43,1021
641,Rosulpur ,43,1116
642,Rupganj,43,722
643,Saidpur,43,1121
644,Sayedpur - Narayanganj,43,1086
645,Shaheb para ,43,1103
646,Shanarpar,43,1022
647,Shibu Market,43,1018
648,Shiddriganj,43,1125
649,Siddirganj,43,493
650,Sign Board,43,122
651,Sonargaon,43,654
652,South Chashara,43,120
653,Vabarchar ,43,1115
654,Zela Parishad,43,1122
655,Zilla Parishod,43,1019
656,Belabo,44,520
657,Madhabdi,44,708
658,Monohordi,44,521
659,Narshingdi Sadar,44,151
660,Palash,44,522
661,Raypura,44,523
662,Shibpur,44,524
663,Bagatipara,45,503
664,Baraigram,45,500
665,Gopalpur UPO,45,991
666,Gurdaspur,45,502
667,Naldanga - Natore,45,579
668,Natore Sadar ,45,110
669,Singra,45,501
670,Atpara,46,872
671,Barhatta,46,878
672,Kalmakanda,46,873
673,Kendua,46,874
674,Khaliajuri,46,875
675,Madan,46,879
676,Mohanganj,46,880
677,Netrokona Sadar,46,147
678,Purbadhala,46,877
679,Susang Durgapur,46,876
680,Dimla,47,640
681,Domar,47,641
682,Jaldhaka,47,642
683,Kishoriganj,47,643
684,Nilphamari Sadar,47,140
685,Saidpur ,47,141
686,Taraganj,47,590
687,Basurhat,48,620
688,Begumganj,48,621
689,Chatkhil,48,622
690,Chondrogonj Thana,48,742
691,Companigonj,48,744
692,Hatia,48,983
693,Kobirhat,48,1106
694,Maizdee,48,639
695,Noakhali Sadar,48,101
696,Senbag,48,623
697,Sonaimuri,48,704
698,Sonapur,48,743
699,Subornochar,48,745
700,Aminpur,49,1040
701,Ataikula,49,773
702,Atghoria,49,505
703,Bera,49,555
704,Bhangura,49,556
705,Chatmohar,49,557
706,Ishwardi,49,504
707,Kasinathpur,49,772
708,Lalpur,49,1007
709,Pabna-Faridpur,49,770
710,Pabna Sadar ,49,125
711,Sathia,49,771
712,Sujanagar,49,506
713,Tebunia,49,554
714,Atwari,50,806
715,Boda,50,809
716,Debiganj,50,808
717,Panchagarh Sadar,50,138
718,Tetulia,50,807
719,Bauphal,51,470
720,Dashmina,51,999
721,Dumkee,51,471
722,Gala chipa,51,472
723,Kala para,51,473
724,Khepupara,51,988
725,Mohipur,51,1034
726,Patuakhali Sadar,51,130
727,Subidkhali,51,998
728,Bhandaria,52,906
729,kaukhali,52,570
730,Mathbaria,52,907
731,Nazirpur,52,571
732,Pirojpur Sadar,52,132
733,Swarupkathi,52,905
734,Baliakandi,53,947
735,Goalanda,53,948
736,Kalukhali,53,950
737,Pangsha,53,949
738,Rajbari Sadar,53,162
739,Bagha,54,577
740,Bagmara,54,497
741,Banseshwar,54,1011
742,Charghat,54,499
743,Durgapur,54,498
744,Godagari ,54,578
745,Katakhali,54,767
746,Mohonpur,54,495
747,Motihar,54,768
748,Paba,54,494
749,Puthia,54,576
750,Rajpara,54,769
751,Rajshahi Sadar (Boalia),54,90
752,Shah Mokdum,54,580
753,Sharda,54,1012
754,Taherpur,54,1013
755,Tanor,54,496
756,Kaptai,55,672
757,Kawkhali Thana,55,669
758,Kotwali Thana,55,163
759,Nanichhar,55,673
760,Rajasthali,55,674
761,Badarganj,56,585
762,Gangachara,56,586
763,Haragach Thana,56,796
764,Kaunia,56,587
765,Mahiganj Thana,56,801
766,Mithapukur,56,588
767,Pirgachha,56,589
768,Pirganj Thana,56,797
769,Porshurampur Thana,56,799
770,Rangpur Cantonment,56,798
771,Rangpur Sadar(Kotowali Thana),56,126
772,Tajhat Thana,56,800
773,Ashashuni Thana,57,658
774,Debhata Thana,57,652
775,Kalaroa,57,650
776,Kaliganj  ,57,653
777,Satkhira Sadar ,57,155
778,Shymnagar,57,659
779,Tala Thana,57,651
780,Bhedorganj,58,662
781,Damudhya,58,663
782,Gosairhat,58,664
783,Jajira,58,665
784,Naria,58,666
785,Shakhipur ,58,1073
786,Shariatpur Sadar (Palong),58,168
787,Jhinaigati,59,526
788,Nakla,59,527
789,Nalitabari,59,528
790,Sherpur Sadar,59,134
791,Sreebardi,59,625
792,Belkuchi,60,581
793,Chowhali,60,1029
794,Kamarkhanda,60,774
795,Kazipur,60,780
796,Rayganj,60,779
797,Salonga,60,777
798,Shahjadpur - Shahjadpur,60,775
799,Sirajganj Sadar,60,105
800,Tarash,60,778
801,Ullapara,60,776
802,Bishwamvarpur,61,834
803,Chhatak,61,149
804,Derai,61,836
805,Dharmapasha,61,835
806,Dowarabazar,61,837
807,Jagnnathpur,61,619
808,Jamalganj,61,838
809,Salla,61,840
810,Shantiganj,61,839
811,Sunamganj Sadar ,61,148
812,Tahirpur,61,841
813,Balaganj,62,611
814,Beanibazar,62,461
815,Bishwanath,62,612
816,Companyganj,62,618
817,Dakshin Surma ,62,831
818,Fenchuganj,62,613
819,Golapganj,62,615
820,Gowainghat,62,614
821,Jaintapur,62,616
822,Kanaighat,62,617
823,Osmani Nagar,62,832
824,Sylhet Sadar,62,89
825,Zakiganj,62,833
826,Bashail,63,535
827,Bhuapur,63,536
828,Delduar,63,537
829,Dhanbari,63,675
830,Ghatail,63,538
831,Gopalpur,63,539
832,Kalihati,63,540
833,Madhupur,63,541
834,Mirzapur,63,542
835,Nagarpur,63,543
836,Sakhipur,63,544
837,Tangail Sadar,63,109
838,Baliadangi,64,951
839,Haripur,64,952
840,Pirganj,64,953
841,Ranisankail,64,954
842,Ruhiya ,64,955
843,Thakurgaon Sadar,64,137
